RepRapFirmware height map file v2 generated at 2020-04-08 13:14, min error -1.312, max error -0.991, mean -1.200, deviation 0.086
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
26.00,340.00,30.00,370.00,-1.00,78.00,85.00,5,5
 -1.208, -1.267, -1.284, -1.125, -1.058
 -1.262, -1.184, -1.096, -1.055, -0.991
 -1.302, -1.207, -1.177, -1.134, -1.148
 -1.286, -1.229, -1.172, -1.187, -1.173
 -1.281, -1.312, -1.308, -1.285, -1.259
